type	time	latitude	longitude	altitude (m)	distance (km)	eos	name	desc
W	2016-02-11 03:48:11	47.718076000	-122.247286000				Start	2016-02-11 03:48:11
W	2016-02-11 08:03:47	47.717761000	-122.247111000				Lap 1	3.53km, 255:37, 0.8kph

type	time	latitude	longitude	altitude (m)	distance (km)	eos	name	desc
T	2016-02-11 03:48:11	47.718076000	-122.247286000	93.9	0.000		motionless_garmin_edge_705	255:37 - 3.5km
T	2016-02-11 03:48:12	47.718073000	-122.247287000	93.9	0.000			
T	2016-02-11 03:48:13	47.718070000	-122.247289000	93.9	0.000			
T	2016-02-11 03:48:14	47.718063000	-122.247293000	93.9	0.000			
T	2016-02-11 03:48:15	47.718060000	-122.247295000	93.7	0.000			
T	2016-02-11 03:48:16	47.718059000	-122.247296000	93.5	0.000			
T	2016-02-11 03:48:17	47.718055000	-122.247297000	93.8	0.000			
T	2016-02-11 03:48:18	47.718055000	-122.247295000	93.8	0.000			
T	2016-02-11 03:48:19	47.718057000	-122.247294000	93.7	0.000			
T	2016-02-11 03:48:20	47.718056000	-122.247296000	93.6	0.000			
T	2016-02-11 03:48:21	47.718053000	-122.247299000	93.6	0.000			
T	2016-02-11 03:48:22	47.718051000	-122.247297000	93.6	0.000			
T	2016-02-11 03:48:23	47.718054000	-122.247295000	93.6	0.001			
T	2016-02-11 03:48:24	47.718049000	-122.247290000	93.7	0.001			
T	2016-02-11 03:48:25	47.718050000	-122.247289000	93.7	0.001			
T	2016-02-11 03:48:26	47.718045000	-122.247284000	93.7	0.001			
T	2016-02-11 03:48:27	47.718047000	-122.247282000	93.7	0.001			
T	2016-02-11 03:48:28	47.718043000	-122.247278000	93.7	0.001			
T	2016-02-11 03:48:29	47.718043000	-122.247278000	93.7	0.001			
T	2016-02-11 03:48:30	47.718040000	-122.247272000	93.7	0.001			
T	2016-02-11 03:48:31	47.718038000	-122.247274000	93.6	0.001			
T	2016-02-11 03:48:32	47.718034000	-122.247270000	93.6	0.001			
T	2016-02-11 03:48:33	47.718033000	-122.247271000	93.6	0.001			
T	2016-02-11 03:48:34	47.718028000	-122.247268000	93.7	0.001			
T	2016-02-11 03:48:35	47.718024000	-122.247272000	93.7	0.001			
T	2016-02-11 03:48:36	47.718020000	-122.247267000	93.7	0.001			
T	2016-02-11 03:48:37	47.718021000	-122.247266000	93.7	0.001			
T	2016-02-11 03:48:38	47.718017000	-122.247261000	93.6	0.001			
T	2016-02-11 03:48:39	47.718016000	-122.247262000	93.6	0.001			
T	2016-02-11 03:48:40	47.718012000	-122.247256000	93.6	0.001			
T	2016-02-11 03:48:41	47.718014000	-122.247251000	93.6	0.001			
T	2016-02-11 03:48:42	47.718008000	-122.247242000	93.6	0.001			
T	2016-02-11 03:48:43	47.718011000	-122.247237000	93.6	0.002			
T	2016-02-11 03:48:44	47.718009000	-122.247232000	93.6	0.002			
T	2016-02-11 03:48:45	47.718012000	-122.247228000	93.6	0.002			
T	2016-02-11 03:48:46	47.718012000	-122.247227000	93.6	0.002			
T	2016-02-11 03:48:47	47.718014000	-122.247226000	93.6	0.002			
T	2016-02-11 03:48:48	47.718016000	-122.247224000	93.6	0.003			
T	2016-02-11 03:48:49	47.718018000	-122.247221000	93.6	0.003			
T	2016-02-11 03:48:50	47.718020000	-122.247219000	93.6	0.003			
T	2016-02-11 03:48:51	47.718022000	-122.247217000	93.5	0.003			
T	2016-02-11 03:48:52	47.718023000	-122.247213000	93.5	0.003			
T	2016-02-11 03:48:53	47.718027000	-122.247215000	93.5	0.004			
T	2016-02-11 03:48:54	47.718029000	-122.247212000	93.5	0.004			
T	2016-02-11 03:48:55	47.718034000	-122.247215000	93.5	0.005			
T	2016-02-11 03:48:56	47.718035000	-122.247211000	93.6	0.005			
T	2016-02-11 03:48:57	47.718028000	-122.247212000	93.6	0.005			
T	2016-02-11 03:48:58	47.718025000	-122.247205000	93.6	0.005			
T	2016-02-11 03:48:59	47.718026000	-122.247203000	93.6	0.005			
T	2016-02-11 03:49:00	47.718024000	-122.247199000	93.5	0.005			
T	2016-02-11 03:49:01	47.718022000	-122.247199000	93.5	0.005			
T	2016-02-11 03:49:02	47.718015000	-122.247178000	93.5	0.005			
T	2016-02-11 03:49:03	47.718016000	-122.247168000	93.5	0.005			
T	2016-02-11 03:49:04	47.718019000	-122.247161000	93.5	0.005			
T	2016-02-11 03:49:05	47.718009000	-122.247144000	93.5	0.005			
T	2016-02-11 03:49:06	47.718010000	-122.247138000	93.5	0.006			
T	2016-02-11 03:49:07	47.718005000	-122.247132000	93.5	0.006			
T	2016-02-11 03:49:08	47.717999000	-122.247126000	93.5	0.006			
T	2016-02-11 03:49:09	47.717987000	-122.247118000	93.5	0.006			
T	2016-02-11 03:49:10	47.717979000	-122.247113000	93.4	0.006			
T	2016-02-11 03:49:11	47.717972000	-122.247109000	93.4	0.006			
T	2016-02-11 03:49:12	47.717969000	-122.247106000	93.4	0.006			
T	2016-02-11 03:49:13	47.717965000	-122.247106000	93.4	0.006			
T	2016-02-11 03:49:14	47.717961000	-122.247104000	93.4	0.006			
T	2016-02-11 03:49:15	47.717952000	-122.247101000	93.4	0.006			
T	2016-02-11 03:49:16	47.717951000	-122.247091000	93.5	0.006			
T	2016-02-11 03:49:17	47.717942000	-122.247080000	93.5	0.006			
T	2016-02-11 03:49:18	47.717939000	-122.247073000	93.5	0.006			
T	2016-02-11 03:49:19	47.717930000	-122.247066000	93.5	0.006			
T	2016-02-11 03:49:20	47.717926000	-122.247060000	93.5	0.006			
T	2016-02-11 03:49:21	47.717929000	-122.247051000	93.4	0.006			
T	2016-02-11 03:49:22	47.717929000	-122.247045000	93.5	0.006			
T	2016-02-11 03:49:23	47.717924000	-122.247042000	93.5	0.006			
T	2016-02-11 03:49:24	47.717920000	-122.247040000	93.5	0.006			
T	2016-02-11 03:49:25	47.717911000	-122.247040000	93.5	0.006			
T	2016-02-11 03:49:26	47.717913000	-122.247034000	93.5	0.006			
T	2016-02-11 03:49:27	47.717913000	-122.247027000	93.5	0.006			
T	2016-02-11 03:49:28	47.717914000	-122.247020000	93.5	0.006			
T	2016-02-11 03:49:29	47.717917000	-122.247017000	93.4	0.007			
T	2016-02-11 03:49:30	47.717927000	-122.247012000	93.5	0.008			
T	2016-02-11 03:49:31	47.717937000	-122.247007000	93.4	0.009			
T	2016-02-11 03:49:32	47.717944000	-122.247002000	93.4	0.010			
T	2016-02-11 03:49:33	47.717951000	-122.246998000	93.4	0.011			
T	2016-02-11 03:49:34	47.717957000	-122.246994000	93.5	0.012			
T	2016-02-11 03:49:35	47.717963000	-122.246992000	93.5	0.012			
T	2016-02-11 03:49:36	47.717968000	-122.246989000	93.5	0.013			
T	2016-02-11 03:49:37	47.717972000	-122.246988000	93.5	0.013			
T	2016-02-11 03:49:38	47.717972000	-122.246988000	93.5	0.013			
T	2016-02-11 03:49:39	47.717982000	-122.246982000	93.5	0.014			
T	2016-02-11 03:49:40	47.717983000	-122.246981000	93.5	0.015			
T	2016-02-11 03:49:41	47.717989000	-122.246977000	93.5	0.015			
T	2016-02-11 03:49:42	47.717990000	-122.246977000	93.5	0.015			
T	2016-02-11 03:49:43	47.717990000	-122.246977000	93.5	0.015			
T	2016-02-11 03:49:44	47.717993000	-122.246976000	93.5	0.016			
T	2016-02-11 03:49:45	47.717993000	-122.246978000	93.5	0.016			
T	2016-02-11 03:49:46	47.717995000	-122.246979000	93.5	0.016			
T	2016-02-11 03:49:47	47.718001000	-122.246982000	93.6	0.016			
T	2016-02-11 03:49:48	47.718008000	-122.246977000	93.6	0.017			
T	2016-02-11 03:49:49	47.718007000	-122.246981000	93.7	0.017			
T	2016-02-11 03:49:50	47.718008000	-122.246985000	93.7	0.017			
T	2016-02-11 03:49:51	47.718010000	-122.246988000	93.6	0.018			
T	2016-02-11 03:49:52	47.718013000	-122.246989000	93.6	0.018			
T	2016-02-11 03:49:53	47.718012000	-122.246993000	93.6	0.018			
T	2016-02-11 03:49:54	47.718010000	-122.246995000	93.6	0.018			
T	2016-02-11 03:49:55	47.718009000	-122.246996000	93.7	0.018			
T	2016-02-11 03:49:56	47.718009000	-122.246997000	93.7	0.018			
T	2016-02-11 03:49:57	47.718010000	-122.246999000	93.7	0.018			
T	2016-02-11 03:49:58	47.718010000	-122.247002000	93.8	0.018			
T	2016-02-11 03:49:59	47.718015000	-122.247017000	93.8	0.018			
T	2016-02-11 03:50:00	47.718018000	-122.247025000	93.9	0.019			
T	2016-02-11 03:50:01	47.718017000	-122.247028000	93.9	0.019			
T	2016-02-11 03:50:02	47.718024000	-122.247042000	93.9	0.019			
T	2016-02-11 03:50:03	47.718023000	-122.247044000	93.9	0.019			
T	2016-02-11 03:50:04	47.718022000	-122.247041000	93.9	0.019			
T	2016-02-11 03:50:05	47.718016000	-122.247039000	94.0	0.019			
T	2016-02-11 03:50:06	47.718004000	-122.247026000	93.9	0.019			
T	2016-02-11 03:50:07	47.717994000	-122.247021000	94.0	0.019			
T	2016-02-11 03:50:08	47.717986000	-122.247024000	94.0	0.019			
T	2016-02-11 03:50:09	47.717971000	-122.247012000	94.0	0.019			
T	2016-02-11 03:50:10	47.717960000	-122.247007000	94.1	0.019			
T	2016-02-11 03:50:11	47.717943000	-122.247013000	94.1	0.019			
T	2016-02-11 03:50:12	47.717933000	-122.247011000	94.1	0.019			
T	2016-02-11 03:50:13	47.717921000	-122.247015000	94.1	0.019			
T	2016-02-11 03:50:14	47.717914000	-122.247014000	94.1	0.019			
T	2016-02-11 03:50:15	47.717910000	-122.247018000	94.2	0.019			
T	2016-02-11 03:50:16	47.717900000	-122.247013000	94.2	0.019			
T	2016-02-11 03:50:17	47.717885000	-122.247013000	94.3	0.019			
T	2016-02-11 03:50:18	47.717870000	-122.247010000	94.3	0.019			
T	2016-02-11 03:50:19	47.717865000	-122.247012000	94.3	0.019			
T	2016-02-11 03:50:20	47.717861000	-122.247011000	94.4	0.019			
T	2016-02-11 03:50:21	47.717858000	-122.247013000	94.4	0.019			
T	2016-02-11 03:50:22	47.717850000	-122.247011000	94.4	0.019			
T	2016-02-11 03:50:23	47.717851000	-122.247009000	94.3	0.019			
T	2016-02-11 03:50:24	47.717845000	-122.247005000	94.3	0.019			
T	2016-02-11 03:50:25	47.717845000	-122.247002000	94.2	0.019			
T	2016-02-11 03:50:26	47.717847000	-122.247000000	94.2	0.020			
T	2016-02-11 03:50:27	47.717846000	-122.247002000	94.2	0.020			
T	2016-02-11 03:50:28	47.717840000	-122.247002000	94.3	0.020			
T	2016-02-11 03:50:29	47.717835000	-122.247002000	94.3	0.020			
T	2016-02-11 03:50:30	47.717840000	-122.247010000	94.3	0.020			
T	2016-02-11 03:50:31	47.717841000	-122.247009000	94.3	0.020			
T	2016-02-11 03:50:32	47.717846000	-122.247018000	94.2	0.021			
T	2016-02-11 03:50:33	47.717849000	-122.247021000	94.2	0.021			
T	2016-02-11 03:50:34	47.717856000	-122.247030000	94.3	0.022			
T	2016-02-11 03:50:35	47.717854000	-122.247025000	94.3	0.022			
T	2016-02-11 03:50:36	47.717852000	-122.247020000	94.3	0.022			
T	2016-02-11 03:50:37	47.717847000	-122.247010000	94.3	0.022			
T	2016-02-11 03:50:38	47.717849000	-122.247012000	94.3	0.022			
T	2016-02-11 03:50:39	47.717851000	-122.247014000	94.3	0.022			
T	2016-02-11 03:50:40	47.717854000	-122.247028000	94.3	0.022			
T	2016-02-11 03:50:41	47.717854000	-122.247031000	94.4	0.022			
T	2016-02-11 03:50:42	47.717847000	-122.247022000	94.4	0.022			
T	2016-02-11 03:50:43	47.717847000	-122.247025000	94.3	0.022			
T	2016-02-11 03:50:44	47.717845000	-122.247025000	94.3	0.022			
T	2016-02-11 03:50:45	47.717843000	-122.247030000	94.4	0.022			
T	2016-02-11 03:50:46	47.717837000	-122.247027000	94.4	0.022			
T	2016-02-11 03:50:47	47.717834000	-122.247031000	94.5	0.022			
T	2016-02-11 03:50:48	47.717830000	-122.247033000	94.5	0.022			
T	2016-02-11 03:50:49	47.717829000	-122.247036000	94.5	0.022			
T	2016-02-11 03:50:50	47.717828000	-122.247039000	94.4	0.022			
T	2016-02-11 03:50:51	47.717826000	-122.247043000	94.5	0.022			
T	2016-02-11 03:50:52	47.717824000	-122.247045000	94.5	0.022			
T	2016-02-11 03:50:53	47.717822000	-122.247048000	94.6	0.022			
T	2016-02-11 03:50:54	47.717822000	-122.247053000	94.6	0.022			
T	2016-02-11 03:50:55	47.717822000	-122.247057000	94.5	0.022			
T	2016-02-11 03:50:56	47.717823000	-122.247060000	94.5	0.022			
T	2016-02-11 03:50:57	47.717823000	-122.247065000	94.5	0.022			
T	2016-02-11 03:50:58	47.717827000	-122.247073000	94.5	0.023			
T	2016-02-11 03:50:59	47.717827000	-122.247075000	94.6	0.023			
T	2016-02-11 03:51:00	47.717828000	-122.247078000	94.6	0.023			
T	2016-02-11 03:51:01	47.717830000	-122.247076000	94.5	0.023			
T	2016-02-11 03:51:02	47.717834000	-122.247071000	94.6	0.024			
T	2016-02-11 03:51:03	47.717837000	-122.247069000	94.6	0.024			
T	2016-02-11 03:51:04	47.717842000	-122.247070000	94.6	0.024			
T	2016-02-11 03:51:05	47.717846000	-122.247069000	94.6	0.025			
T	2016-02-11 03:51:06	47.717847000	-122.247060000	94.7	0.025			
T	2016-02-11 03:51:07	47.717848000	-122.247060000	94.7	0.025			
T	2016-02-11 03:51:08	47.717849000	-122.247058000	94.7	0.025			
T	2016-02-11 03:51:09	47.717851000	-122.247058000	94.7	0.026			
T	2016-02-11 03:51:10	47.717854000	-122.247061000	94.7	0.026			
T	2016-02-11 03:51:11	47.717860000	-122.247069000	94.7	0.027			
T	2016-02-11 03:51:12	47.717861000	-122.247069000	94.8	0.027			
T	2016-02-11 03:51:13	47.717866000	-122.247076000	94.7	0.027			
T	2016-02-11 03:51:14	47.717872000	-122.247083000	94.8	0.028			
T	2016-02-11 03:51:15	47.717872000	-122.247086000	94.8	0.028			
T	2016-02-11 03:51:16	47.717877000	-122.247092000	94.8	0.028			
T	2016-02-11 03:51:17	47.717879000	-122.247096000	94.8	0.028			
T	2016-02-11 03:51:18	47.717887000	-122.247105000	94.8	0.029			
T	2016-02-11 03:51:19	47.717890000	-122.247112000	94.7	0.029			
T	2016-02-11 03:51:20	47.717898000	-122.247115000	94.7	0.030			
T	2016-02-11 03:51:21	47.717900000	-122.247123000	94.8	0.030			
T	2016-02-11 03:51:22	47.717901000	-122.247131000	94.8	0.030			
T	2016-02-11 03:51:23	47.717903000	-122.247137000	94.8	0.031			
T	2016-02-11 03:51:24	47.717906000	-122.247142000	94.8	0.031			
T	2016-02-11 03:51:25	47.717909000	-122.247148000	94.7	0.031			
T	2016-02-11 03:51:26	47.717911000	-122.247154000	94.7	0.031			
T	2016-02-11 03:51:27	47.717912000	-122.247159000	94.7	0.031			
T	2016-02-11 03:51:28	47.717914000	-122.247164000	94.7	0.032			
T	2016-02-11 03:51:29	47.717915000	-122.247167000	94.8	0.032			
T	2016-02-11 03:51:30	47.717916000	-122.247170000	94.8	0.032			
T	2016-02-11 03:51:31	47.717919000	-122.247172000	94.8	0.032			
T	2016-02-11 03:51:32	47.717922000	-122.247174000	94.8	0.032			
T	2016-02-11 03:51:33	47.717924000	-122.247178000	94.8	0.033			
T	2016-02-11 03:51:34	47.717925000	-122.247181000	94.8	0.033			
T	2016-02-11 03:51:35	47.717927000	-122.247182000	94.8	0.033			
T	2016-02-11 03:51:36	47.717928000	-122.247182000	94.9	0.033			
T	2016-02-11 03:51:37	47.717929000	-122.247184000	94.8	0.033			
T	2016-02-11 03:51:38	47.717930000	-122.247185000	94.8	0.033			
T	2016-02-11 03:51:39	47.717931000	-122.247186000	94.8	0.033			
T	2016-02-11 03:51:40	47.717922000	-122.247192000	94.8	0.033			
T	2016-02-11 03:51:41	47.717916000	-122.247197000	94.8	0.033			
T	2016-02-11 03:51:42	47.717908000	-122.247203000	94.8	0.033			
T	2016-02-11 03:51:43	47.717901000	-122.247208000	94.8	0.033			
T	2016-02-11 03:51:44	47.717897000	-122.247213000	94.8	0.033			
T	2016-02-11 03:51:45	47.717896000	-122.247214000	94.8	0.033			
T	2016-02-11 03:51:46	47.717894000	-122.247213000	94.9	0.033			
T	2016-02-11 03:51:47	47.717894000	-122.247214000	94.9	0.033			
T	2016-02-11 03:51:48	47.717895000	-122.247215000	94.9	0.033			
T	2016-02-11 03:51:49	47.717898000	-122.247215000	94.8	0.034			
T	2016-02-11 03:51:50	47.717900000	-122.247215000	94.8	0.034			
T	2016-02-11 03:51:51	47.717904000	-122.247215000	94.8	0.034			
T	2016-02-11 03:51:52	47.717907000	-122.247215000	94.8	0.035			
T	2016-02-11 03:51:53	47.717911000	-122.247214000	94.9	0.035			
T	2016-02-11 03:51:54	47.717914000	-122.247214000	95.0	0.035			
T	2016-02-11 03:51:55	47.717916000	-122.247214000	95.0	0.036			
T	2016-02-11 03:51:56	47.717919000	-122.247214000	95.0	0.036			
T	2016-02-11 03:51:57	47.717923000	-122.247213000	95.0	0.036			
T	2016-02-11 03:51:58	47.717926000	-122.247212000	94.9	0.037			
T	2016-02-11 03:51:59	47.717929000	-122.247211000	94.9	0.037			
T	2016-02-11 03:52:00	47.717933000	-122.247211000	94.9	0.038			
T	2016-02-11 03:52:01	47.717937000	-122.247212000	94.9	0.038			
T	2016-02-11 03:52:02	47.717940000	-122.247213000	95.0	0.038			
T	2016-02-11 03:52:03	47.717940000	-122.247219000	95.0	0.038			
T	2016-02-11 03:52:04	47.717944000	-122.247216000	95.0	0.039			
T	2016-02-11 03:52:05	47.717949000	-122.247215000	95.1	0.039			
T	2016-02-11 03:52:06	47.717946000	-122.247200000	95.1	0.039			
T	2016-02-11 03:52:07	47.717943000	-122.247184000	95.1	0.039			
T	2016-02-11 03:52:08	47.717939000	-122.247171000	95.1	0.039			
T	2016-02-11 03:52:09	47.717938000	-122.247164000	95.1	0.039			
T	2016-02-11 03:52:10	47.717938000	-122.247158000	95.1	0.039			
T	2016-02-11 03:52:11	47.717937000	-122.247153000	95.1	0.039			
T	2016-02-11 03:52:12	47.717936000	-122.247150000	95.1	0.039			
T	2016-02-11 03:52:13	47.717935000	-122.247147000	95.1	0.039			
T	2016-02-11 03:52:14	47.717934000	-122.247145000	95.1	0.039			
T	2016-02-11 03:52:15	47.717935000	-122.247144000	95.1	0.040			
T	2016-02-11 03:52:16	47.717935000	-122.247144000	95.1	0.040			
T	2016-02-11 03:52:17	47.717934000	-122.247143000	95.1	0.040			
T	2016-02-11 03:52:18	47.717932000	-122.247142000	95.1	0.040			
T	2016-02-11 03:52:19	47.717930000	-122.247141000	95.2	0.040			
T	2016-02-11 03:52:20	47.717929000	-122.247142000	95.1	0.040			
T	2016-02-11 03:52:21	47.717930000	-122.247143000	95.1	0.040			
T	2016-02-11 03:52:22	47.717931000	-122.247145000	95.1	0.040			
T	2016-02-11 03:52:23	47.717932000	-122.247147000	95.1	0.040			
T	2016-02-11 03:52:24	47.717932000	-122.247148000	95.1	0.040			
T	2016-02-11 03:52:25	47.717931000	-122.247150000	95.2	0.040			
T	2016-02-11 03:52:26	47.717931000	-122.247151000	95.2	0.040			
T	2016-02-11 03:52:27	47.717932000	-122.247154000	95.2	0.040			
T	2016-02-11 03:52:28	47.717933000	-122.247155000	95.2	0.040			
T	2016-02-11 03:52:29	47.717933000	-122.247157000	95.2	0.040			
T	2016-02-11 03:52:30	47.717935000	-122.247158000	95.2	0.040			
T	2016-02-11 03:52:31	47.717936000	-122.247159000	95.3	0.040			
T	2016-02-11 03:52:32	47.717937000	-122.247161000	95.3	0.040			
T	2016-02-11 03:52:33	47.717938000	-122.247162000	95.3	0.041			
T	2016-02-11 03:52:34	47.717939000	-122.247164000	95.3	0.041			
T	2016-02-11 03:52:35	47.717952000	-122.247175000	95.3	0.042			
T	2016-02-11 03:52:36	47.717963000	-122.247182000	95.2	0.043			
T	2016-02-11 03:52:37	47.717971000	-122.247188000	95.2	0.044			
T	2016-02-11 03:52:38	47.717978000	-122.247192000	95.2	0.045			
T	2016-02-11 03:52:39	47.717976000	-122.247193000	95.2	0.045			
T	2016-02-11 03:52:40	47.717975000	-122.247194000	95.3	0.045			
T	2016-02-11 03:52:41	47.717974000	-122.247195000	95.3	0.045			
T	2016-02-11 03:52:42	47.717973000	-122.247196000	95.3	0.045			
T	2016-02-11 03:52:43	47.717972000	-122.247196000	95.3	0.045			
T	2016-02-11 03:52:44	47.717974000	-122.247202000	95.3	0.045			
T	2016-02-11 03:52:45	47.717978000	-122.247210000	95.3	0.045			
T	2016-02-11 03:52:46	47.717987000	-122.247217000	95.3	0.046			
T	2016-02-11 03:52:47	47.717994000	-122.247224000	95.3	0.047			
T	2016-02-11 03:52:48	47.718000000	-122.247230000	95.4	0.047			
T	2016-02-11 03:52:49	47.718004000	-122.247235000	95.3	0.048			
T	2016-02-11 03:52:50	47.718003000	-122.247242000	95.3	0.048			
T	2016-02-11 03:52:51	47.718002000	-122.247247000	95.3	0.048			
T	2016-02-11 03:52:52	47.718002000	-122.247252000	95.3	0.048			
T	2016-02-11 03:52:53	47.718001000	-122.247257000	95.3	0.048			
T	2016-02-11 03:52:54	47.718000000	-122.247262000	95.3	0.048			
T	2016-02-11 03:52:55	47.717999000	-122.247266000	95.3	0.048			
T	2016-02-11 03:52:56	47.717999000	-122.247270000	95.3	0.048			
T	2016-02-11 03:52:57	47.717999000	-122.247274000	95.2	0.048			
T	2016-02-11 03:52:58	47.717999000	-122.247275000	95.2	0.048			
T	2016-02-11 03:52:59	47.718000000	-122.247277000	95.2	0.048			
T	2016-02-11 03:53:00	47.718000000	-122.247278000	95.2	0.048			
T	2016-02-11 03:53:01	47.718000000	-122.247280000	95.1	0.048			
T	2016-02-11 03:53:02	47.718000000	-122.247281000	95.2	0.048			
T	2016-02-11 03:53:03	47.718000000	-122.247282000	95.2	0.048			
T	2016-02-11 03:53:04	47.718000000	-122.247283000	95.2	0.048			
T	2016-02-11 03:53:05	47.718000000	-122.247283000	95.3	0.048			
T	2016-02-11 03:53:06	47.718002000	-122.247283000	95.3	0.048			
T	2016-02-11 03:53:07	47.718003000	-122.247283000	95.3	0.048			
T	2016-02-11 03:53:08	47.718004000	-122.247282000	95.2	0.048			
T	2016-02-11 03:53:09	47.718005000	-122.247282000	95.2	0.049			
T	2016-02-11 03:53:10	47.718008000	-122.247277000	95.2	0.049			
T	2016-02-11 03:53:11	47.718010000	-122.247275000	95.2	0.049			
T	2016-02-11 03:53:12	47.718012000	-122.247273000	95.1	0.049			
T	2016-02-11 03:53:13	47.718015000	-122.247271000	95.1	0.050			
T	2016-02-11 03:53:14	47.718018000	-122.247268000	95.1	0.050			
T	2016-02-11 03:53:15	47.718020000	-122.247266000	95.1	0.050			
T	2016-02-11 03:53:16	47.718022000	-122.247264000	95.2	0.051			
T	2016-02-11 03:53:17	47.718022000	-122.247262000	95.2	0.051			
T	2016-02-11 03:53:18	47.718023000	-122.247260000	95.2	0.051			
T	2016-02-11 03:53:19	47.718023000	-122.247258000	95.2	0.051			
T	2016-02-11 03:53:20	47.718023000	-122.247257000	95.2	0.051			
T	2016-02-11 03:53:21	47.718023000	-122.247255000	95.2	0.051			
T	2016-02-11 03:53:22	47.718026000	-122.247244000	95.1	0.051			
T	2016-02-11 03:53:23	47.718029000	-122.247234000	95.2	0.052			
T	2016-02-11 03:53:24	47.718031000	-122.247226000	95.2	0.052			
T	2016-02-11 03:53:25	47.718031000	-122.247218000	95.2	0.052			
T	2016-02-11 03:53:26	47.718030000	-122.247210000	95.2	0.052			
T	2016-02-11 03:53:27	47.718028000	-122.247204000	95.1	0.052			
T	2016-02-11 03:53:28	47.718027000	-122.247200000	95.2	0.052			
T	2016-02-11 03:53:29	47.718018000	-122.247208000	95.1	0.052			
T	2016-02-11 03:53:30	47.718005000	-122.247219000	95.1	0.052			
T	2016-02-11 03:53:31	47.717994000	-122.247226000	95.1	0.052			
T	2016-02-11 03:53:32	47.717986000	-122.247230000	95.1	0.052			
T	2016-02-11 03:53:33	47.717977000	-122.247234000	95.1	0.052			
T	2016-02-11 03:53:34	47.717972000	-122.247234000	95.1	0.052			
T	2016-02-11 03:53:35	47.717974000	-122.247223000	95.1	0.052			
T	2016-02-11 03:53:36	47.717970000	-122.247220000	95.1	0.052			
T	2016-02-11 03:53:37	47.717973000	-122.247211000	95.1	0.053			
T	2016-02-11 03:53:38	47.717969000	-122.247210000	95.1	0.053			
T	2016-02-11 03:53:39	47.717968000	-122.247205000	95.2	0.053			
T	2016-02-11 03:53:40	47.717961000	-122.247204000	95.2	0.053			
T	2016-02-11 03:53:41	47.717960000	-122.247203000	95.2	0.053			
T	2016-02-11 03:53:42	47.717956000	-122.247202000	95.2	0.053			
T	2016-02-11 03:53:43	47.717956000	-122.247197000	95.1	0.053			
T	2016-02-11 03:53:44	47.717955000	-122.247193000	95.2	0.053			
T	2016-02-11 03:53:45	47.717946000	-122.247195000	95.2	0.053			
T	2016-02-11 03:53:46	47.717940000	-122.247194000	95.2	0.053			
T	2016-02-11 03:53:47	47.717935000	-122.247193000	95.4	0.053			
T	2016-02-11 03:53:48	47.717929000	-122.247191000	95.4	0.053			
T	2016-02-11 03:53:49	47.717929000	-122.247187000	95.4	0.053			
T	2016-02-11 03:53:50	47.717921000	-122.247190000	95.4	0.053			
T	2016-02-11 03:53:51	47.717921000	-122.247188000	95.3	0.053			
T	2016-02-11 03:53:52	47.717919000	-122.247187000	95.2	0.053			
T	2016-02-11 03:53:53	47.717921000	-122.247184000	95.2	0.053			
T	2016-02-11 03:53:54	47.717923000	-122.247183000	95.2	0.053			
T	2016-02-11 03:53:55	47.717918000	-122.247186000	95.3	0.053			
T	2016-02-11 03:53:56	47.717919000	-122.247184000	95.3	0.053			
T	2016-02-11 03:53:57	47.717916000	-122.247183000	95.2	0.053			
T	2016-02-11 03:53:58	47.717915000	-122.247182000	95.2	0.053			
T	2016-02-11 03:53:59	47.717914000	-122.247182000	95.1	0.053			
T	2016-02-11 03:54:00	47.717915000	-122.247182000	95.1	0.053			
T	2016-02-11 03:54:01	47.717913000	-122.247178000	95.1	0.053			
T	2016-02-11 03:54:02	47.717907000	-122.247173000	95.2	0.053			
T	2016-02-11 03:54:03	47.717899000	-122.247165000	95.2	0.053			
T	2016-02-11 03:54:04	47.717892000	-122.247159000	95.2	0.053			
T	2016-02-11 03:54:05	47.717888000	-122.247155000	95.2	0.053			
T	2016-02-11 03:54:06	47.717884000	-122.247151000	95.1	0.053			
T	2016-02-11 03:54:07	47.717882000	-122.247148000	95.1	0.053			
T	2016-02-11 03:54:08	47.717876000	-122.247155000	95.2	0.053			
T	2016-02-11 03:54:09	47.717869000	-122.247162000	95.2	0.053			
T	2016-02-11 03:54:10	47.717863000	-122.247168000	95.4	0.053			
T	2016-02-11 03:54:11	47.717858000	-122.247172000	95.4	0.053			
T	2016-02-11 03:54:12	47.717854000	-122.247175000	95.4	0.053			
T	2016-02-11 03:54:13	47.717850000	-122.247179000	95.3	0.053			
T	2016-02-11 03:54:14	47.717846000	-122.247181000	95.3	0.053			
T	2016-02-11 03:54:15	47.717840000	-122.247184000	95.2	0.053			
T	2016-02-11 03:54:16	47.717841000	-122.247184000	95.2	0.054			
T	2016-02-11 03:54:17	47.717843000	-122.247182000	95.2	0.054			
T	2016-02-11 03:54:18	47.717843000	-122.247182000	95.2	0.054			
T	2016-02-11 03:54:19	47.717840000	-122.247184000	95.3	0.054			
T	2016-02-11 03:54:20	47.717841000	-122.247184000	95.3	0.054			
T	2016-02-11 03:54:21	47.717843000	-122.247183000	95.3	0.054			
T	2016-02-11 03:54:22	47.717847000	-122.247180000	95.4	0.055			
T	2016-02-11 03:54:23	47.717850000	-122.247178000	95.4	0.055			
